day_number,week,day_in_week,question_count,questions,wrong_first_attempt_questions,wrong_daily_practice_questions
25,4,4,5,"L4Q6; L3Q7; L4Q7; L3Q8; L4Q8","",""
26,4,5,5,"L4Q9; L2Q11; L4Q10; L2Q15; L4Q11","",""
27,4,6,5,"L4Q12; L3Q9; L4Q13; L1Q6; L4Q14","",""
28,4,7,4,"L1Q15; L4Q15; L1Q7; L1Q8","",""
29,5,1,3,"L3Q10; L4Q1; L3Q11","L5Q15","L3Q10"
30,5,2,10,"L3Q10; L2Q1; L4Q2; L2Q11; L3Q15; L4Q3; L5Q15; L3Q12; L2Q2; L4Q4","",""
31,5,3,7,"L5Q1; L3Q13; L5Q2; L3Q14; L4Q5; L5Q3; L1Q9","",""
32,5,4,6,"L5Q4; L4Q6; L5Q5; L2Q3; L5Q6; L4Q7","",""
33,5,5,6,"L5Q7; L3Q10; L5Q8; L4Q8; L5Q9; L2Q4","",""
34,5,6,4,"L5Q10; L2Q5; L5Q11; L5Q12","",""
35,5,7,4,"L5Q13; L2Q15; L5Q14; L2Q6","",""
36,6,1,4,"L4Q9; L5Q15; L4Q10; L4Q11","L6Q15","L4Q9"
37,6,2,10,"L4Q9; L5Q1; L4Q15; L5Q2; L6Q15; L3Q10; L2Q7; L1Q10; L4Q12; L5Q3","",""
38,6,3,8,"L6Q1; L4Q13; L6Q2; L1Q11; L2Q11; L4Q14; L6Q3; L1Q12","",""
39,6,4,7,"L6Q4; L3Q1; L6Q5; L1Q13; L6Q6; L3Q2; L5Q4","",""
40,6,5,6,"L6Q7; L5Q5; L6Q8; L4Q9; L6Q9; L5Q6","",""
41,6,6,4,"L6Q10; L1Q14; L6Q11; L6Q12","",""
42,6,7,4,"L6Q13; L1Q15; L6Q14; L3Q3","",""
43,7,1,5,"L5Q7; L2Q1; L5Q8; L6Q15; L5Q9","L7Q15","L5Q7"
44,7,2,10,"L5Q7; L3Q4; L2Q8; L3Q5; L5Q10; L7Q15; L4Q9; L3Q6; L2Q9; L5Q11","",""
45,7,3,10,"L6Q1; L7Q1; L5Q12; L6Q2; L7Q2; L3Q10; L4Q1; L5Q15; L6Q3; L7Q3","",""
46,7,4,8,"L7Q4; L3Q7; L7Q5; L5Q13; L7Q6; L2Q10; L3Q8; L5Q14","",""
47,7,5,7,"L7Q7; L6Q4; L7Q8; L5Q7; L7Q9; L4Q2; L6Q5","",""
48,7,6,6,"L7Q10; L6Q6; L7Q11; L2Q12; L7Q12; L3Q15","",""
49,7,7,4,"L7Q13; L2Q15; L7Q14; L4Q3","",""
50,8,1,6,"L6Q7; L4Q4; L6Q8; L7Q15; L6Q9; L2Q14","L8Q15","L6Q7"
51,8,2,10,"L6Q7; L1Q1; L6Q10; L8Q15; L5Q7; L4Q5; L1Q2; L2Q13; L3Q9; L6Q11","",""
52,8,3,10,"L7Q1; L8Q1; L6Q12; L7Q2; L8Q2; L2Q11; L4Q9; L6Q15; L7Q3; L8Q3","",""
53,8,4,7,"L8Q4; L4Q6; L8Q5; L6Q13; L8Q6; L4Q7; L6Q14","",""
54,8,5,8,"L8Q7; L7Q4; L8Q8; L7Q5; L6Q7; L8Q9; L7Q6; L3Q11","",""
55,8,6,6,"L8Q10; L4Q8; L8Q11; L4Q15; L8Q12; L5Q1","",""
56,8,7,4,"L8Q13; L5Q2; L8Q14; L5Q3","",""
57,9,1,4,"L7Q7; L8Q15; L7Q8; L7Q9","L9Q15","L7Q7"
58,9,2,10,"L7Q7; L1Q3; L7Q10; L8Q1; L9Q15; L6Q7; L3Q12; L1Q4; L7Q11; L8Q2","",""
59,9,3,10,"L9Q1; L3Q10; L7Q12; L9Q2; L5Q7; L7Q15; L8Q3; L9Q3; L1Q5; L3Q13","",""
60,9,4,7,"L9Q4; L7Q13; L9Q5; L3Q14; L9Q6; L5Q4; L7Q14","",""
